EasyVisaId,QuestVersion,Name,DisplayText,ShortName,ApplicantType,SectionCompletionRule,SectionCompletionRuleParam,SectionVisibilityRule,SectionVisibilityRuleParam,CompletionPercentageRule,CompletionPercentageRuleParam
Sec_1,quest_version_test,introQuestions,Intro Questions,Intro Questions,Petitioner,,,,,,
Sec_2,quest_version_test,name,Name,Name,Petitioner,,,,,,
Sec_addressHistory,quest_version_test,addressHistory,Address History,Address History,Petitioner,,,,,,
Sec_contactInformation,quest_version_test,contactInformation,Contact Information,Contact Information,Petitioner,,,,,,
Sec_birthInformation,quest_version_test,birthInformation,Birth Information,Birth Information,Petitioner,,,,,,
Sec_biographicInformation,quest_version_test,biographicInformation,Biographic Information,Biographic Information,Petitioner,,,,,,
Sec_legalStatusInUS,quest_version_test,legalStatusInUS,Legal Status in U.S.,Legal Status in U.S.,Petitioner,,,,,,
Sec_incomeHistory,quest_version_test,incomeHistory,Income History,Income History,Petitioner,,,,,,
Sec_assets,quest_version_test,assets,Assets,Assets,Petitioner,,,,,,
Sec_employmentHistory,quest_version_test,employmentHistory,Employment History,Employment History,Petitioner,EmploymentHistoryCompletionRule,,,,EmploymentHistoryCompletionPercentageRule,
Sec_criminalAndCivilHistory,quest_version_test,criminalAndCivilHistory,Criminal/Civil History,Criminal/Civil History,Petitioner,,,,,,
Sec_familyInformation,quest_version_test,familyInformation,Family Information,Family Information,Petitioner,,,,,,
Sec_relationshipToPetitioner,quest_version_test,relationshipToPetitioner,Relationship to Petitioner,Relationship to Petitioner,Petitioner,,,RelationshipToPetitionerApplicableRule,,,
Sec_supportAndContributions,quest_version_test,supportAndContributions,Support & Contributions,Support & Contributions,Petitioner,,,SupportAndContributionsApplicableRule,,,
Sec_jointSponsor1IncomeAndAssets,quest_version_test,jointSponsor1IncomeAndAssets,Joint Sponsor 1 Income & Assets,Joint Sponsor 1 Income & Assets,Petitioner,,,,,,
Sec_introQuestionsForBeneficiary,quest_version_test,introQuestionsForBeneficiary,Intro Questions For Beneficiary (The person who is immigrating to the United States),Intro Questions,Beneficiary,,,,,,
Sec_basisPetitionToRemoveConditionsOnResidence,quest_version_test,basisPetitionToRemoveConditionsOnResidence,Basis for Petition to Remove Conditions on Residence,Basis to Remove Conditions,Beneficiary,,,,,,
Sec_uscisLocationInformation,quest_version_test,uscisLocationInformation,USCIS Location Information,USCIS Location Information,Beneficiary,,,,,,
Sec_nameForBeneficiary,quest_version_test,name,Name,Name,Beneficiary,,,,,,
Sec_addressHistoryForBeneficiary,quest_version_test,addressHistory,Address History,Address History,Beneficiary,,,,,,
Sec_contactInformationForBeneficiary,quest_version_test,contactInformation,Contact Information,Contact Information,Beneficiary,,,,,,
Sec_birthInformationForBeneficiary,quest_version_test,birthInformation,Birth Information,Birth Information,Beneficiary,,,,,,
Sec_biographicInformationForBeneficiary,quest_version_test,biographicInformation,Biographic Information,Biographic Information,Beneficiary,,,,,,
Sec_personelInformationForBeneficiary,quest_version_test,personelInformation,Personal Information,Personal Information,Beneficiary,,,,,,
Sec_incomeHistoryAndFeesPaid,quest_version_test,incomeHistoryAndFeesPaid,Income History & Fees Paid,Income History & Fees Paid,Beneficiary,,,,,,
Sec_employmentHistoryForBeneficiary,quest_version_test,employmentHistory,Employment History,Employment History,Beneficiary,EmploymentHistoryCompletionRule,,,,EmploymentHistoryCompletionPercentageRule,
Sec_familyInformationForBeneficiary,quest_version_test,familyInformation,Family Information,Family Information,Beneficiary,,,,,,
Sec_travelToTheUnitedStates,quest_version_test,travelToTheUnitedStates,Travel to the United States,Travel to the United States,Beneficiary,,,,,,
Sec_inadmissibilityAndOtherLegalIssues,quest_version_test,inadmissibilityAndOtherLegalIssues,Inadmissibility and Other Legal  Issues,Inadmissibility Issues,Beneficiary,,,,,,
Sec_publicAssistance,quest_version_test,publicAssistance,Public Assistance ,Public Assistance ,Beneficiary,,,,,,
Sec_extremeHardshipForRelatives,quest_version_test,relativesWhoWillExperienceExtremeHardshipIfYouAreInadmissibleToTheUnitedStates,Relatives Who Will Experience Extreme Hardship if You Are Inadmissible to the United States,Extreme Hardship for Relatives,Beneficiary,,,,,,
Sec_otherPeopleWithTiesToUS,quest_version_test,otherUSCitizensWithTiesToUSThatYouWouldLikeUSCIS,"Other U.S. citizen(s), LPR(s) (Lawful Permanent Resident), or any other family members with ties to the United States that you would like the USCIS to consider in deciding whether you should be lawfully admitted to the United States",Other People With Ties to U.S.,Beneficiary,,,NonRelativeWouldExperienceExtremeHardshipApplicableRule,,,
Sec_statementFromApplicant,quest_version_test,statementFromApplicant,Statement from Applicant,Statement from Applicant,Beneficiary,,,,,,
Sec_admin,quest_version_test,admin,Admin,Admin,Beneficiary,,,,,,
